vaci,caci,chl,fsd,tsd,quality,alc,,
0.44,0.42,0.145,34,48,LOW,9.9,,
0.47,0.44,0.147,36,51,LOW,9.9,,
0.685,0.26,0.088,16,23,LOW,9.4,,
0.665,0.1,0.066,27,55,LOW,9.3,,
0.28,0.28,0.012,36,100,HIGH,11.7,,
0.28,0.28,0.012,36,100,HIGH,11.7,,
0.31,0.35,0.075,9,28,HIGH,11.2,,
0.5,0.04,0.092,13,26,LOW,10,,
0.42,0.47,0.085,9,34,HIGH,12.1,,
0.66,0,0.115,21,31,LOW,10.3,,
0.5,0.45,0.119,34,68,HIGH,10.9,,
0.685,0.35,0.088,9,92,LOW,9.4,,
0.25,0.46,0.062,26,42,HIGH,10.6,,
0.64,0.21,0.081,14,31,LOW,9.8,,
0.64,0.21,0.081,14,31,LOW,9.8,,
0.68,0.16,0.078,12,39,HIGH,9.9,,
0.64,0.21,0.081,14,31,LOW,9.8,,
0.63,0.21,0.08,12,32,LOW,9.8,,
0.43,0.44,0.085,9,22,LOW,9.5,,
0.43,0.44,0.085,9,22,LOW,9.5,,
0.42,0.32,0.08,26,122,LOW,9.7,,
0.36,0.39,0.08,41,55,HIGH,10.9,,
0.36,0.39,0.08,41,55,HIGH,10.9,,
0.735,0.02,0.071,10,14,HIGH,11.7,,
0.36,0.39,0.08,41,55,HIGH,10.9,,
0.26,0.34,0.073,16,47,HIGH,11.3,,
0.28,0.47,0.054,17,32,HIGH,10.6,,
0.56,0.22,0.074,15,24,HIGH,11.2,,
0.62,0.06,0.077,15,85,LOW,9.5,,
1.01,0.66,0.039,15,88,HIGH,11.5,,
0.42,0.32,0.067,7,25,LOW,10.4,,
0.62,0.06,0.078,17,84,LOW,9.7,,
0.62,0.06,0.077,15,85,LOW,9.5,,
0.635,0.07,0.077,16,86,LOW,9.7,,
0.49,0.22,0.071,13,24,HIGH,11.3,,
0.51,0.23,0.072,13,22,HIGH,11.2,,
0.56,0.22,0.074,15,24,HIGH,11.2,,
0.63,0.03,0.08,27,43,HIGH,10.9,,
0.715,0.01,0.064,31,43,HIGH,11.8,,
0.56,0.03,0.086,36,46,LOW,10.6,,
0.35,0.24,0.067,28,48,LOW,10,,
0.21,0.37,0.067,6,10,HIGH,11.1,,
0.38,0.46,0.104,6,10,HIGH,11.8,,
0.31,0.4,0.109,7,16,HIGH,11.8,,
0.47,0,0.067,7,14,LOW,10.9,,
0.715,0.01,0.064,31,43,HIGH,11.8,,
0.61,0.19,0.094,30,69,HIGH,10,,
0.6,0.04,0.076,18,88,LOW,9.5,,
0.56,0.18,0.078,10,21,LOW,9.9,,
0.715,0,0.068,30,35,HIGH,11.4,,
0.31,0.29,0.194,14,26,HIGH,12,,
0.6,0.04,0.076,18,88,LOW,9.5,,
0.61,0.19,0.094,30,69,HIGH,10,,
0.75,0.14,0.086,9,30,LOW,10.5,,
0.8,0.12,0.083,8,28,HIGH,10.4,,
0.52,0.38,0.066,29,56,HIGH,12.1,,
0.57,0,0.072,32,64,HIGH,11.2,,
0.9,0.34,0.112,23,99,LOW,9.3,,
0.34,0.24,0.071,30,52,LOW,10.1,,
0.66,0.03,0.078,16,86,LOW,9.7,,
0.45,0.23,0.082,10,18,HIGH,9.3,,
0.66,0.03,0.078,16,86,LOW,9.7,,
0.63,0.03,0.08,17,88,HIGH,9.8,,
0.59,0.01,0.08,27,43,HIGH,10.7,,
0.31,0.39,0.078,17,43,HIGH,12.5,,
0.59,0.01,0.08,27,43,HIGH,10.7,,
0.31,0.39,0.078,17,43,HIGH,12.5,,
1.02,0.02,0.084,6,11,LOW,11,,
0.31,0.36,0.056,10,39,LOW,11.8,,
0.635,0.1,0.08,16,33,HIGH,10.8,,
0.635,0.1,0.08,16,33,HIGH,10.8,,
0.59,0.06,0.06,11,18,HIGH,10.8,,
0.59,0.06,0.06,11,18,HIGH,10.8,,
0.58,0.2,0.081,15,115,LOW,9.5,,
0.54,0.27,0.084,12,78,LOW,11,,
0.56,0,0.079,6,9,HIGH,11.5,,
0.52,0.13,0.078,34,61,HIGH,10.8,,
0.305,0.39,0.059,7,11,HIGH,11.5,,
0.38,0.48,0.132,3,11,HIGH,13.2,,
0.28,0.46,0.114,3,9,HIGH,10.9,,
0.46,0.44,0.065,4,8,HIGH,12.2,,
0.395,0.46,0.094,3,10,HIGH,12.2,,
0.305,0.39,0.059,7,11,HIGH,11.5,,
0.315,0.4,0.079,3,6,HIGH,11.9,,
0.715,0.19,0.161,7,62,LOW,11,,
0.41,0.31,0.084,26,45,HIGH,10.1,,
0.36,0.32,0.081,32,79,HIGH,11,,
0.62,0.12,0.072,38,46,HIGH,11.8,,
0.41,0.37,0.091,10,23,LOW,10.5,,
0.36,0.32,0.081,32,79,HIGH,11,,
0.62,0.12,0.072,38,46,HIGH,11.8,,
0.41,0.31,0.084,26,45,HIGH,10.1,,
0.47,0.27,0.055,14,28,LOW,11.2,,
0.22,0.36,0.064,53,77,HIGH,11,,
0.24,0.33,0.061,52,73,HIGH,10.2,,
0.67,0.19,0.093,11,75,LOW,9.2,,
0.47,0.27,0.055,14,28,LOW,11.2,,
0.33,0.38,0.063,10,19,HIGH,12,,
0.61,0.01,0.08,8,25,LOW,10.5,,
0.61,0.01,0.074,13,38,LOW,9.8,,
0.4,0.29,0.078,29,66,HIGH,9.5,,
0.61,0.01,0.074,13,38,LOW,9.8,,
0.61,0.01,0.08,8,25,LOW,10.5,,
0.3,0.38,0.06,19,72,HIGH,11.8,,
0.3,0.38,0.06,19,72,HIGH,11.8,,
0.63,0.5,0.071,6,26,LOW,10.4,,
0.38,0.38,0.068,23,42,HIGH,12.9,,
0.46,0.17,0.073,7,11,LOW,11.4,,
0.33,0.52,0.074,13,25,HIGH,12.4,,
0.27,0.49,0.082,9,17,HIGH,12.5,,
0.43,0.4,0.092,13,52,HIGH,10,,
0.5,0.34,0.094,10,45,HIGH,9.7,,
0.3,0.49,0.09,11,24,HIGH,12.1,,
0.44,0.42,0.071,7,20,HIGH,11.1,,
0.44,0.58,0.092,11,24,HIGH,12,,
0.28,0.48,0.093,6,12,HIGH,12.4,,
0.12,0.45,0.075,10,21,HIGH,11.9,,
0.12,0.45,0.075,10,21,HIGH,11.9,,
0.12,0.45,0.075,10,21,HIGH,11.9,,
0.28,0.48,0.093,6,12,HIGH,12.4,,
0.31,0.4,0.058,6,10,HIGH,11.2,,
0.34,0.48,0.052,5,9,HIGH,12.1,,
0.43,0.4,0.082,6,11,HIGH,12.2,,
0.21,0.52,0.09,9,23,LOW,10.4,,
0.36,0.52,0.111,5,10,HIGH,11.3,,
0.37,0.52,0.088,12,51,HIGH,11.1,,
0.57,0.12,0.12,25,36,HIGH,11.3,,
0.59,0.05,0.089,12,32,LOW,10,,
0.47,0.27,0.058,18,38,HIGH,11.1,,
0.56,0.14,0.078,7,18,LOW,9.3,,
0.57,0.02,0.115,6,16,LOW,9.5,,
0.27,0.39,0.1,20,27,HIGH,11.2,,
0.47,0.27,0.058,18,38,HIGH,11.1,,
0.34,0.4,0.065,24,48,HIGH,11,,
0.38,0.41,0.103,6,10,HIGH,11.9,,
0.66,0.2,0.097,23,113,LOW,9.2,,
0.4,0.43,0.068,29,46,HIGH,12.2,,
0.56,0.09,0.079,7,22,LOW,10.2,,
0.26,0.48,0.066,6,10,HIGH,10.9,,
0.26,0.48,0.066,6,10,HIGH,10.9,,
0.38,0.5,0.104,6,13,HIGH,11.6,,
0.34,0.44,0.079,6,12,LOW,10.7,,
0.33,0.41,0.073,7,13,HIGH,12.1,,
0.41,0.3,0.083,35,72,LOW,9.4,,
0.41,0.3,0.083,35,72,LOW,9.4,,
0.59,0.29,0.109,31,119,LOW,9.1,,
0.4,0.32,0.061,9,29,HIGH,11.3,,
0.45,0.49,0.075,3,6,LOW,10.4,,
0.5,0.3,0.065,8,17,HIGH,10.5,,
0.86,0.26,0.079,13,28,LOW,10,,
0.52,0.32,0.07,51,70,HIGH,12.9,,
0.5,0.3,0.065,8,17,HIGH,10.5,,
0.45,0.49,0.075,3,6,LOW,10.4,,
0.58,0,0.064,7,11,HIGH,11.3,,
0.34,0.39,0.066,3,7,HIGH,11.4,,
0.36,0.3,0.08,35,70,LOW,9.4,,
0.39,0.12,0.097,19,27,LOW,9.4,,
0.295,0.4,0.073,14,21,HIGH,10.9,,
0.39,0.12,0.097,19,27,LOW,9.4,,
0.34,0.28,0.082,31,68,LOW,9.4,,
0.4,0.1,0.076,30,47,HIGH,9.4,,
0.34,0.28,0.082,31,68,LOW,9.4,,
0.35,0.45,0.092,20,88,LOW,9.4,,
0.6,0.06,0.079,19,41,HIGH,10.1,,
0.66,0,0.087,3,11,HIGH,12.8,,
0.66,0,0.087,3,11,HIGH,12.8,,
0.84,0.34,0.05,4,10,HIGH,9.1,,
0.69,0,0.055,7,12,HIGH,12.9,,
0.43,0.3,0.062,6,12,HIGH,11.5,,
0.35,0.38,0.058,31,47,HIGH,10.6,,
0.29,0.33,0.063,13,27,HIGH,11.7,,
0.36,0.32,0.067,4,8,HIGH,12.8,,
0.43,0.29,0.081,27,45,LOW,10.3,,
0.36,0.32,0.067,4,8,HIGH,12.8,,
0.29,0.33,0.063,13,27,HIGH,11.7,,
0.3,0.34,0.064,12,25,HIGH,11.7,,
0.35,0.4,0.11,12,24,HIGH,12,,
0.5,0.36,0.116,26,55,LOW,10.9,,
0.28,0.45,0.067,7,12,HIGH,12.3,,
0.32,0.31,0.088,12,19,HIGH,10.4,,
1.005,0.15,0.102,11,32,LOW,10,,
0.71,0,0.092,22,31,HIGH,10,,
0.58,0.16,0.12,3,7,HIGH,11.2,,
0.39,0.46,0.075,14,27,HIGH,11.4,,
0.38,0.4,0.068,12,28,HIGH,12.6,,
0.18,0.37,0.049,36,109,HIGH,12.7,,
0.18,0.37,0.049,36,109,HIGH,12.7,,
0.5,0.14,0.078,10,23,LOW,10.4,,
0.36,0.66,0.123,3,8,HIGH,11.9,,
0.36,0.66,0.123,3,8,HIGH,11.9,,
0.51,0.09,0.062,4,9,LOW,10.5,,
0.32,0.42,0.098,3,9,HIGH,12.3,,
0.58,0.01,0.088,12,18,HIGH,10.5,,
0.83,0,0.095,17,43,HIGH,10.4,,
0.31,0.32,0.066,14,36,HIGH,12.6,,
0.795,0,0.065,28,52,LOW,11.6,,
0.34,0.21,0.075,41,68,HIGH,10.1,,
0.58,0.01,0.088,12,18,HIGH,10.5,,
0.59,0,0.091,9,14,HIGH,11.5,,
0.55,0.01,0.093,9,15,HIGH,11,,
0.82,0,0.095,5,14,LOW,9.6,,
0.57,0.08,0.089,14,27,HIGH,10.4,,
0.745,0.18,0.077,15,48,HIGH,9.7,,
0.37,0.34,0.085,5,17,HIGH,10.6,,
0.31,0.34,0.082,26,35,HIGH,12.5,,
0.91,0.1,0.074,20,56,LOW,9.2,,
0.41,0.41,0.078,25,42,HIGH,12.6,,
0.5,0.21,0.088,21,39,HIGH,11.1,,
0.965,0,0.088,16,32,LOW,10.2,,
0.49,0.19,0.079,13,26,HIGH,9.8,,
0.5,0.21,0.088,21,39,HIGH,11.1,,
0.39,0.41,0.069,18,39,HIGH,10.9,,
0.39,0.33,0.046,12,53,HIGH,12.2,,
0.44,0,0.07,32,38,HIGH,11.4,,
0.78,0,0.076,33,45,HIGH,10.7,,
0.43,0.17,0.082,27,51,LOW,10.4,,
0.49,0.36,0.081,3,14,HIGH,10.9,,
0.5,0.36,0.084,6,17,HIGH,10.8,,
0.43,0.17,0.082,27,51,LOW,10.4,,
0.46,0.59,0.414,16,45,LOW,9.2,,
0.605,0.05,0.073,19,25,LOW,12.9,,
0.33,0.42,0.07,9,20,HIGH,12.7,,
0.64,0.27,0.095,5,77,HIGH,9.1,,
0.64,0.27,0.095,5,77,HIGH,9.1,,
0.48,0.53,0.101,3,10,HIGH,12.1,,
0.42,0.25,0.104,28,90,LOW,9.1,,
0.53,0.57,0.093,30,52,HIGH,11.6,,
0.48,0.53,0.101,3,10,HIGH,12.1,,
0.23,0.57,0.074,3,8,HIGH,9.9,,
0.4,0.5,0.071,7,16,HIGH,12.5,,
0.38,0.44,0.098,6,15,HIGH,11.4,,
0.29,0.65,0.075,6,17,HIGH,11.8,,
0.74,0.09,0.067,5,10,HIGH,11.8,,
0.61,0.18,0.083,6,20,HIGH,10.2,,
0.52,0.08,0.07,13,26,HIGH,12.5,,
0.31,0.53,0.06,3,10,HIGH,10.9,,
0.31,0.53,0.06,3,10,HIGH,10.9,,
0.62,0.35,0.086,28,52,LOW,10.8,,
0.33,0.45,0.057,19,37,HIGH,11.1,,
0.77,0.2,0.098,30,92,LOW,9.2,,
0.35,0.26,0.083,33,75,HIGH,9.5,,
0.62,0.33,0.088,16,37,HIGH,10.7,,
0.77,0.2,0.098,30,92,LOW,9.2,,
0.25,0.34,0.071,45,67,HIGH,10.2,,
0.32,0.56,0.073,3,8,HIGH,11.4,,
0.37,0.65,0.08,3,8,LOW,11,,
0.37,0.65,0.08,3,8,LOW,11,,
0.3,0.68,0.05,37.5,278,HIGH,12.3,,
0.27,0.56,0.047,3,8,HIGH,11.8,,
0.3,0.68,0.05,37.5,289,HIGH,12.3,,
0.38,0.3,0.073,31,70,HIGH,9.5,,
0.42,0.45,0.072,32,59,HIGH,12,,
0.38,0.3,0.073,31,70,HIGH,9.5,,
0.48,0.08,0.074,40,64,LOW,9.6,,
0.34,0.4,0.055,3,9,HIGH,11.6,,
0.19,0.42,0.057,18,30,HIGH,11.2,,
0.41,0.54,0.095,22,41,HIGH,9.9,,
0.41,0.54,0.095,22,41,HIGH,9.9,,
0.26,0.54,0.083,42,74,HIGH,11.8,,
0.34,0.42,0.086,8,19,HIGH,11.4,,
0.54,0.09,0.081,10,16,HIGH,11.5,,
0.31,0.36,0.079,11,31,HIGH,12,,
0.725,0.09,0.117,9,17,HIGH,10.8,,
0.4,0.47,0.087,6,20,LOW,10.5,,
0.725,0.09,0.117,9,17,HIGH,10.8,,
0.52,0.38,0.096,5,18,LOW,9.4,,
0.31,0.45,0.216,5,16,HIGH,12.5,,
0.52,0.38,0.096,5,18,LOW,9.4,,
0.34,0.42,0.072,23,36,HIGH,12.4,,
0.49,0.27,0.071,14,25,HIGH,12,,
0.48,0.09,0.078,18,30,HIGH,11.2,,
0.49,0.27,0.071,14,25,HIGH,12,,
0.48,0.34,0.073,16,25,HIGH,12.4,,
0.57,0.28,0.048,13,49,LOW,12.8,,
0.23,0.42,0.069,9,17,HIGH,12.3,,
0.3,0.41,0.068,10,24,HIGH,11.7,,
0.78,0.1,0.09,4,13,LOW,9.5,,
0.47,0.43,0.171,27,66,HIGH,10.8,,
0.53,0,0.07,6,14,HIGH,10,,
0.42,0.27,0.092,23,55,HIGH,12.3,,
0.33,0.41,0.056,6,35,HIGH,11,,
0.24,0.39,0.074,3,10,HIGH,9.5,,
0.4,0.5,0.046,29,80,HIGH,13.6,,
0.69,0.07,0.091,15,21,HIGH,11.3,,
0.69,0.07,0.091,15,21,HIGH,11.3,,
0.69,0.07,0.091,15,21,HIGH,11.3,,
0.39,0.12,0.065,14,24,HIGH,13.3,,
0.66,0,0.066,7,15,LOW,12.9,,
0.54,0.34,0.076,8,17,HIGH,13.1,,
0.5,0,0.062,21,28,HIGH,12.3,,
0.47,0,0.055,27,33,HIGH,12.3,,
0.4,0.37,0.081,17,29,HIGH,11.2,,
0.58,0,0.096,3,13,LOW,11.5,,
0.24,0.35,0.055,13,27,HIGH,11.3,,
0.29,0.26,0.063,3,11,HIGH,13.5,,
0.76,0,0.072,26,52,HIGH,11.5,,
0.43,0.33,0.095,28,89,LOW,10,,
0.43,0.35,0.092,24,70,HIGH,10.5,,
0.6,0,0.058,5,10,HIGH,10.4,,
0.19,0.21,0.045,57,135,LOW,9.5,,
0.36,0.34,0.075,18,38,HIGH,13.6,,
0.48,0.07,0.089,10,18,HIGH,11.2,,
0.28,0.35,0.061,6,15,HIGH,11.8,,
0.25,0.43,0.067,22,50,HIGH,11.9,,
0.52,0.45,0.08,6,13,HIGH,11.4,,
0.52,0.45,0.08,6,13,HIGH,11.4,,
0.41,0.15,0.104,29,94,LOW,9.1,,
0.51,0.24,0.079,16,86,HIGH,9.5,,
0.4,0.3,0.08,33,79,HIGH,9.5,,
0.38,0.32,0.08,24,71,HIGH,11,,
0.45,0.11,0.043,6,12,HIGH,11.4,,
0.22,0.3,0.065,16,20,HIGH,10,,
0.32,0.23,0.066,35,70,LOW,10.1,,
0.2,0.43,0.076,31,51,HIGH,10.4,,
0.5,0.12,0.178,6,21,HIGH,9.8,,
0.41,0.45,0.071,6,14,HIGH,11.8,,
0.39,0.42,0.086,9,21,HIGH,11.6,,
0.35,0.47,0.061,6,11,HIGH,12,,
0.33,0.32,0.067,4,12,HIGH,12.8,,
0.58,0.23,0.044,16,70,HIGH,12.5,,
0.6,0.25,0.118,9,38,LOW,9.8,,
0.42,0.35,0.083,17,38,HIGH,11.1,,
0.58,0,0.1,50,63,HIGH,11.4,,
0.6,0.25,0.118,9,38,LOW,9.8,,
0.18,0.51,0.071,45,88,HIGH,11.8,,
0.51,0.18,0.042,16,101,HIGH,12.9,,
0.41,0.43,0.076,22,54,HIGH,10.6,,
0.41,0.43,0.11,11,37,LOW,10.8,,
0.36,0.57,0.087,6,20,HIGH,11.1,,
0.45,0.43,0.076,12,21,HIGH,10.2,,
0.32,0.42,0.075,12,19,HIGH,11.8,,
0.785,0.24,0.078,10,21,LOW,10,,
0.785,0.24,0.078,10,21,LOW,10,,
0.44,0.5,0.369,15,38,LOW,9.4,,
0.54,0.26,0.111,7,60,LOW,10.2,,
0.33,0.39,0.074,29,48,HIGH,12.4,,
0.34,0.27,0.067,8,44,HIGH,12,,
0.5,0.29,0.086,5,14,HIGH,11.5,,
0.36,0.34,0.062,5,12,HIGH,10.5,,
0.59,0,0.078,26,44,HIGH,10.8,,
0.42,0.46,0.074,5,16,HIGH,12.3,,
0.36,0.31,0.079,26,65,HIGH,9.5,,
0.36,0.31,0.079,26,65,HIGH,9.5,,
0.61,0,0.095,48,59,HIGH,11.5,,
0.88,0.03,0.079,23,47,LOW,11.2,,
0.66,0,0.052,6,11,HIGH,12.7,,
0.915,0,0.041,17,78,LOW,11.4,,
0.35,0.33,0.076,11,47,HIGH,11,,
0.35,0.33,0.076,11,47,HIGH,11,,
0.39,0.43,0.068,5,11,LOW,11.4,,
0.4,0.4,0.068,41,54,HIGH,10.5,,
0.66,0.07,0.07,16,61,LOW,9.3,,
0.64,0.23,0.08,11,119,LOW,10.9,,
0.43,0.3,0.085,6,39,HIGH,11.9,,
0.8,0.03,0.079,6,12,LOW,12.2,,
0.43,0.3,0.085,6,39,HIGH,11.9,,
0.64,0.23,0.08,11,119,LOW,10.9,,
0.955,0.05,0.075,5,19,LOW,9.6,,
0.4,0.57,0.08,6,20,HIGH,12.5,,
0.885,0,0.166,6,12,LOW,10.8,,
0.25,0.37,0.063,11,41,HIGH,12.4,,
0.885,0,0.166,6,12,LOW,10.8,,
0.745,0.12,0.114,15,64,HIGH,9.5,,
0.43,0.22,0.078,21,56,HIGH,9.5,,
0.58,0.23,0.076,23,94,HIGH,9.5,,
0.57,0.21,0.069,4,9,HIGH,9.8,,
0.26,0.26,0.052,19,77,HIGH,10.9,,
0.58,0.23,0.076,23,94,HIGH,9.5,,
0.57,0.21,0.069,4,9,HIGH,9.8,,
0.34,0.36,0.065,5,10,HIGH,11.2,,
0.42,0.39,0.068,6,12,HIGH,11.7,,
0.74,0.19,0.111,33,76,LOW,9.4,,
0.36,0.46,0.074,24,44,HIGH,11,,
0.36,0.46,0.074,24,44,HIGH,11,,
0.36,0.46,0.074,24,44,HIGH,11,,
0.72,0.55,0.136,24,52,LOW,10,,
0.36,0.46,0.074,24,44,HIGH,11,,
0.39,0.43,0.071,14,24,HIGH,11.2,,
0.65,0.02,0.078,8,15,HIGH,10.4,,
0.44,0.15,0.076,22,53,LOW,9.3,,
0.65,0.02,0.078,8,15,HIGH,10.4,,
0.38,0.42,0.071,5,13,HIGH,10.5,,
0.33,0.46,0.081,6,9,HIGH,10.4,,
0.27,0.46,0.095,20,29,HIGH,11.3,,
0.57,0.31,0.079,10,79,HIGH,9.5,,
0.34,0.37,0.057,43,74,HIGH,12,,
0.4,0.31,0.082,8,24,HIGH,10.6,,
0.39,0.4,0.044,25,50,HIGH,10.9,,
0.32,0.52,0.132,17,44,HIGH,11.5,,
0.32,0.52,0.132,17,44,HIGH,11.5,,
0.53,0.22,0.078,33,89,HIGH,9.6,,
0.36,0.47,0.074,9,23,HIGH,12,,
0.39,0.49,0.08,8,20,HIGH,10.3,,
0.46,0.23,0.091,18,77,LOW,9.4,,
0.58,0.03,0.08,27,46,LOW,9.2,,
0.58,0.25,0.104,8,21,LOW,9.6,,
0.42,0,0.044,18,88,HIGH,13.6,,
0.43,0.29,0.075,19,66,LOW,9.5,,
0.18,0.34,0.066,15,58,HIGH,11.8,,
0.815,0.01,0.074,48,90,LOW,10.8,,
0.43,0.29,0.075,19,66,LOW,9.5,,
0.23,0.37,0.057,14,36,LOW,9.3,,
0.75,0.01,0.059,11,18,HIGH,12.8,,
0.33,0.32,0.054,6,113,LOW,11.5,,
0.55,0,0.07,7,17,HIGH,9.4,,
0.75,0.01,0.059,11,18,HIGH,12.8,,
0.73,0,0.081,12,24,LOW,9.6,,
0.67,0,0.057,11,20,LOW,11.8,,
0.61,0.2,0.076,36,60,LOW,9.3,,
0.37,0.39,0.079,28,65,LOW,9.8,,
0.4,0.41,0.058,15,40,HIGH,12.2,,
0.56,0.22,0.082,10,86,LOW,9.5,,
0.29,0.25,0.067,72,160,HIGH,10.3,,
0.55,0.19,0.082,15,34,LOW,10.5,,
0.74,0.07,0.086,15,48,LOW,10,,
0.55,0.19,0.082,15,34,LOW,10.5,,
0.41,0.33,0.081,22,36,HIGH,11.1,,
0.6,0.01,0.079,24,37,HIGH,10.9,,
0.6,0.01,0.079,24,37,HIGH,10.9,,
0.58,0.14,0.077,27,60,LOW,9.8,,
0.72,0,0.123,6,14,LOW,9.8,,
0.66,0,0.096,6,13,LOW,9.5,,
0.7,0.06,0.079,20,35,LOW,10.9,,
0.64,0.02,0.069,26,46,LOW,11,,
0.59,0.22,0.082,43,60,LOW,9.2,,
0.58,0.28,0.085,12,69,HIGH,11,,
0.64,0,0.123,15,33,HIGH,11.3,,
0.64,0,0.123,15,33,HIGH,11.3,,
0.635,0.68,0.403,19,56,LOW,9.3,,
1.02,0,0.083,17,24,LOW,11.2,,
0.45,0.38,0.081,34,66,LOW,9.8,,
0.78,0,0.089,13,26,LOW,9.6,,
0.37,0.32,0.066,26,51,HIGH,11.8,,
0.57,0.05,0.081,16,36,HIGH,10.3,,
0.57,0.05,0.081,16,36,HIGH,10.3,,
0.43,0.5,0.068,13,19,HIGH,11.4,,
0.41,0.31,0.079,21,51,HIGH,9.5,,
0.49,0.03,0.044,28,87,HIGH,14,,
0.38,0.01,0.048,26,60,HIGH,14,,
0.44,0.2,0.049,24,64,HIGH,11.7,,
0.46,0,0.077,25,44,LOW,11.2,,
0.58,0.2,0.073,34,44,LOW,9.3,,
0.58,0.13,0.102,17,36,HIGH,11.2,,
0.715,0.22,0.075,13,81,HIGH,9.5,,
0.4,0.4,0.05,3,10,LOW,12,,
0.69,0,0.114,3,10,HIGH,9.7,,
0.715,0.22,0.075,13,81,HIGH,9.5,,
0.3,0.39,0.062,3,9,HIGH,11.5,,
0.46,0.2,0.077,28,54,HIGH,10.4,,
0.46,0.2,0.077,28,54,HIGH,10.4,,
0.765,0,0.084,9,22,HIGH,10.9,,
0.63,0.28,0.096,17,69,HIGH,10.2,,
0.42,0.19,0.071,18,36,LOW,10.9,,
0.37,0.5,0.09,20,47,LOW,10.5,,
0.16,0.44,0.068,17,31,HIGH,12.4,,
0.6,0.08,0.056,3,7,LOW,13,,
0.6,0.3,0.068,20,110,LOW,10.2,,
0.6,0.3,0.068,20,110,LOW,10.2,,
0.74,0,0.1,6,12,LOW,11,,
0.635,0.1,0.073,25,60,HIGH,10.9,,
0.395,0.13,0.056,14,28,HIGH,12.4,,
0.755,0,0.084,6,12,LOW,9.7,,
0.635,0.1,0.073,25,60,HIGH,10.9,,
0.63,0,0.093,51,77.5,LOW,9.5,,
0.63,0,0.093,51,77.5,LOW,9.5,,
0.53,0.14,0.064,15,29,HIGH,12.1,,
0.6,0,0.063,11,18,HIGH,12.2,,
1.58,0,0.137,5,9,LOW,10.9,,
0.645,0,0.08,15,28,HIGH,12.5,,
0.86,0.07,0.1,20,57,HIGH,11.7,,
0.37,0.32,0.064,4,15,HIGH,11.2,,
0.28,0.44,0.081,28,68,LOW,11.2,,
0.79,0.21,0.087,21,68,LOW,9.2,,
0.61,0.26,0.073,24,88,LOW,9.8,,
0.69,0.32,0.088,22,91,LOW,10.1,,
0.68,0.09,0.068,15,29,LOW,11.1,,
0.69,0.32,0.088,22,91,LOW,10.1,,
0.62,0.1,0.071,27,63,LOW,9.2,,
0.61,0.26,0.073,24,88,LOW,9.8,,
0.51,0.15,0.064,12,27,HIGH,12.8,,
1.18,0.21,0.083,14,41,LOW,10.5,,
0.36,0.21,0.086,20,65,HIGH,10.1,,
0.36,0.21,0.086,24,69,HIGH,10.1,,
0.63,0.27,0.083,17,91,HIGH,9.8,,
0.74,0,0.041,16,46,HIGH,12.5,,
0.44,0.46,0.091,10,41,HIGH,11.9,,
0.63,0.27,0.083,17,91,HIGH,9.8,,
0.76,0.68,0.414,18,64,HIGH,9.1,,
0.66,0.34,0.094,12,88,LOW,10.1,,
0.74,0,0.041,16,46,HIGH,12.5,,
0.34,0.42,0.058,9,18,LOW,11.4,,
0.36,0.39,0.06,21,55,HIGH,11,,
0.46,0.24,0.077,18,34,HIGH,10.6,,
0.46,0.24,0.077,18,34,HIGH,10.6,,
0.46,0.24,0.077,18,34,HIGH,10.6,,
0.46,0.24,0.077,18,34,HIGH,10.6,,
0.52,0.11,0.073,13,38,LOW,9.3,,
0.6,0.26,0.083,17,91,HIGH,9.8,,
0.6,0.26,0.083,17,91,HIGH,9.8,,
0.87,0.26,0.107,31,67,LOW,9.2,,
0.39,0.1,0.075,6,25,HIGH,9.7,,
0.775,0.22,0.079,12,48,LOW,9.6,,
0.835,0,0.166,4,11,LOW,10,,
0.58,0.02,0.069,19,40,HIGH,12.6,,
0.5,0,0.057,15,26,LOW,9.5,,
0.5,0,0.057,15,26,LOW,9.5,,
0.5,0,0.057,15,26,LOW,9.5,,
0.51,0.02,0.084,13,31,HIGH,10.5,,
0.51,0.02,0.084,13,31,HIGH,10.5,,
0.51,0.02,0.084,13,31,HIGH,10.5,,
0.54,0.02,0.085,17,31,HIGH,10.4,,
0.51,0.02,0.084,13,31,HIGH,10.5,,
0.42,0.48,0.077,8,20,LOW,11,,
0.44,0.24,0.063,10,28,HIGH,10.2,,
0.59,0.01,0.056,5,13,LOW,11.4,,
0.655,0.03,0.078,7,12,LOW,9.5,,
0.655,0.03,0.078,7,12,LOW,9.5,,
0.57,0,0.081,21,41,LOW,10.8,,
0.6,0.29,0.069,32,73,LOW,10,,
0.62,0.01,0.065,8,46,HIGH,11.8,,
0.645,0.03,0.086,14,57,LOW,10.3,,
0.645,0.03,0.086,14,57,LOW,10.3,,
0.58,0.03,0.077,7,28,LOW,10,,
0.32,0.25,0.086,5,32,LOW,10.1,,
0.34,0.25,0.084,4,28,LOW,10.1,,
0.43,0.24,0.078,27,67,HIGH,11.1,,
0.64,0.17,0.168,52,98,LOW,9.5,,
0.475,0.4,0.091,6,28,HIGH,10.03333333,,
0.54,0.31,0.112,11,38,LOW,10.9,,
0.85,0.14,0.093,13,54,LOW,10.1,,
0.475,0.4,0.091,6,28,HIGH,10.03333333,,
0.83,0.27,0.08,11,63,LOW,9.8,,
